"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"2014"	"2014"	318	7661	4150.9
	"Autauga County, AL"	"01001"	"2015"	"2015"	356	7921	4494.4
	"Autauga County, AL"	"01001"	"2016"	"2016"	361	8162	4422.9
	"Autauga County, AL"	"01001"	"2017"	"2017"	376	8392	4480.5
	"Autauga County, AL"	"01001"	"2018"	"2018"	396	8653	4576.4
	"Autauga County, AL"	"01001"	"2019"	"2019"	411	8924	4605.6
	"Autauga County, AL"	"01001"	"2020 "	"2020"	472	9082	5197.1
	"Baldwin County, AL"	"01003"	"2014"	"2014"	1420	37385	3798.3
	"Baldwin County, AL"	"01003"	"2015"	"2015"	1571	39062	4021.8
	"Baldwin County, AL"	"01003"	"2016"	"2016"	1484	41104	3610.4
	"Baldwin County, AL"	"01003"	"2017"	"2017"	1676	42413	3951.6
	"Baldwin County, AL"	"01003"	"2018"	"2018"	1798	44571	4034.0
	"Baldwin County, AL"	"01003"	"2019"	"2019"	1713	46830	3657.9
	"Baldwin County, AL"	"01003"	"2020 "	"2020"	2046	49485	4134.6
	"Barbour County, AL"	"01005"	"2014"	"2014"	215	4433	4850.0
	"Barbour County, AL"	"01005"	"2015"	"2015"	211	4546	4641.4
	"Barbour County, AL"	"01005"	"2016"	"2016"	179	4678	3826.4
	"Barbour County, AL"	"01005"	"2017"	"2017"	226	4757	4750.9
	"Barbour County, AL"	"01005"	"2018"	"2018"	223	4832	4615.1
	"Barbour County, AL"	"01005"	"2019"	"2019"	238	4861	4896.1
	"Barbour County, AL"	"01005"	"2020 "	"2020"	268	4982	5379.4
	"Bibb County, AL"	"01007"	"2014"	"2014"	149	3328	4477.2
	"Bibb County, AL"	"01007"	"2015"	"2015"	163	3392	4805.4
	"Bibb County, AL"	"01007"	"2016"	"2016"	158	3494	4522.0
	"Bibb County, AL"	"01007"	"2017"	"2017"	168	3632	4625.6
	"Bibb County, AL"	"01007"	"2018"	"2018"	190	3690	5149.1
	"Bibb County, AL"	"01007"	"2019"	"2019"	179	3733	4795.1
	"Bibb County, AL"	"01007"	"2020 "	"2020"	208	3780	5502.6
	"Blount County, AL"	"01009"	"2014"	"2014"	421	9813	4290.2
	"Blount County, AL"	"01009"	"2015"	"2015"	439	10110	4342.2
	"Blount County, AL"	"01009"	"2016"	"2016"	499	10379	4807.8
	"Blount County, AL"	"01009"	"2017"	"2017"	484	10351	4675.9
	"Blount County, AL"	"01009"	"2018"	"2018"	500	10548	4740.2
	"Blount County, AL"	"01009"	"2019"	"2019"	511	10814	4725.4
	"Blount County, AL"	"01009"	"2020 "	"2020"	611	10999	5555.1
	"Bullock County, AL"	"01011"	"2014"	"2014"	74	1600	4625.0
	"Bullock County, AL"	"01011"	"2015"	"2015"	82	1635	5015.3
	"Bullock County, AL"	"01011"	"2016"	"2016"	96	1684	5700.7
	"Bullock County, AL"	"01011"	"2017"	"2017"	90	1631	5518.1
	"Bullock County, AL"	"01011"	"2018"	"2018"	74	1661	4455.1
	"Bullock County, AL"	"01011"	"2019"	"2019"	86	1711	5026.3
	"Bullock County, AL"	"01011"	"2020 "	"2020"	100	1763	5672.1
	"Butler County, AL"	"01013"	"2014"	"2014"	197	3644	5406.1
	"Butler County, AL"	"01013"	"2015"	"2015"	175	3704	4724.6
	"Butler County, AL"	"01013"	"2016"	"2016"	182	3804	4784.4
	"Butler County, AL"	"01013"	"2017"	"2017"	167	3877	4307.5
	"Butler County, AL"	"01013"	"2018"	"2018"	214	3995	5356.7
	"Butler County, AL"	"01013"	"2019"	"2019"	178	4049	4396.1
	"Butler County, AL"	"01013"	"2020 "	"2020"	219	4171	5250.5
	"Calhoun County, AL"	"01015"	"2014"	"2014"	948	18499	5124.6
	"Calhoun County, AL"	"01015"	"2015"	"2015"	1010	18900	5343.9
